,train_loss,train_acc,val_loss,val_acc
0,0.977253466412641,0.6181901071347162,0.7262410488393571,0.7445255474452555
1,0.6297633434119432,0.7818554821062229,0.5674123730924394,0.7974452554744526
2,0.4881905013614375,0.8338272167768407,0.46571047190162873,0.843065693430657
3,0.4197149347999822,0.8547982676088444,0.4326918199658394,0.8467153284671532
4,0.3560097783911919,0.8803282425347618,0.39728759560320115,0.8540145985401459
5,0.32662460099959717,0.8933211762024162,0.39557967831691104,0.8540145985401459
6,0.3101578858559546,0.894916799635286,0.4050648394558165,0.864963503649635
7,0.29439412724172725,0.8997036699338956,0.37634705420997405,0.8740875912408759
8,0.25964265470595466,0.9117848187827673,0.3662828972770108,0.8759124087591241
9,0.24270786956438553,0.9161157966719854,0.3649471071031358,0.8722627737226277
10,0.2208884063622226,0.9218144517893777,0.3595959299968349,0.8923357664233577
11,0.21507401679359053,0.9325279234100752,0.3512134345041381,0.8886861313868614
12,0.19636676934264277,0.9354912240711192,0.3537219452361266,0.8905109489051095
13,0.1854321053791521,0.9338956006382494,0.46768007510238224,0.8722627737226277
14,0.17609445264805917,0.9373147937086848,0.40971554774377084,0.8795620437956204
15,0.163775110522798,0.9425575564166857,0.3853808931178517,0.8886861313868614
16,0.1597932868272714,0.9436972874401641,0.4073231994277901,0.8795620437956204
17,0.14928628056161647,0.9446090722589469,0.4046538712249862,0.8832116788321168
18,0.1331566678515325,0.9555504900843401,0.4151960643422272,0.8777372262773723
19,0.12977116123732665,0.9546387052655573,0.41514467924005455,0.8886861313868614
20,0.12698927247539107,0.9582858445406884,0.4672919226189454,0.8886861313868614
21,0.11824933107456435,0.9580578983359928,0.46013390955825645,0.8905109489051095
22,0.11526324920545238,0.9591976293594712,0.4898395521773232,0.8868613138686131
23,0.10502009779768254,0.9655801230909505,0.4498990240196387,0.8886861313868614
24,0.09912862925810496,0.9680875313426032,0.5233771605805183,0.8795620437956204
25,0.0997791024409167,0.9671757465238203,0.5013414768295156,0.885036496350365
26,0.08197878813371062,0.9708228857989515,0.5242868369548686,0.8868613138686131
27,0.0826343284022279,0.9715067244130385,0.5374704053263284,0.8868613138686131
28,0.07582979492482095,0.9769774333257352,0.5403688844396837,0.8722627737226277
29,0.0832605214711056,0.9712787782083429,0.49114148696470594,0.8813868613138686
30,0.07673626405659784,0.9731023478459083,0.5767664193279214,0.8740875912408759
31,0.0733234271469553,0.9744700250740825,0.5316404912413822,0.8941605839416058
32,0.06645653092477849,0.9790289491679963,0.6166449797520828,0.8832116788321168
33,0.06463402540100725,0.9776612719398222,0.5325148120108578,0.885036496350365
34,0.0641655093902533,0.9790289491679963,0.5835491870012548,0.8941605839416058
35,0.06605768733256348,0.9778892181445179,0.5965997801265783,0.8978102189781022
36,0.06784648649762318,0.9783451105539093,0.5854398378481468,0.8886861313868614
37,0.07391376458331976,0.9776612719398222,0.5929482024576929,0.8868613138686131
38,0.05918993231772101,0.9781171643492136,0.6938832255287303,0.8704379562043796
39,0.06425943573202053,0.9788010029633006,0.5744113456457853,0.8886861313868614
40,0.059440122868788116,0.9803966263961705,0.5679989701214557,0.8868613138686131
41,0.05551149617932042,0.981536357419649,0.612388446332059,0.8905109489051095
42,0.04577853808270605,0.9842717118759973,0.7553389025658058,0.8777372262773723
43,0.047209737982879946,0.9838158194666059,0.6118571391173949,0.8978102189781022
44,0.06640252761349404,0.9774333257351265,0.6351004056244468,0.8941605839416058
45,0.044791614300766676,0.9831319808525188,0.7000923689661754,0.8959854014598541
46,0.05807279157675836,0.9856393891041714,0.6283492942133712,0.8905109489051095
47,0.04538908024582981,0.9829040346478232,0.7564009292804662,0.8777372262773723
48,0.04458695020530022,0.9854114428994757,0.7736982241363471,0.8759124087591241
49,0.047357067209014676,0.984499658080693,0.7093718435094666,0.8868613138686131
